OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26B,26B Credit Card/Automated Teller Machine Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26B,26B Credit Card/Automated Teller Machine Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,IMPERSONATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26E,26E Wire Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,AGGRAVATED COMPUTER TAMPERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26E,26E Wire Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,COMPUTER FRAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26E,26E Wire Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90A,90A Bad Checks (except Counterfeit Checks or Forged Checks),Bad Checks (except Counterfeit Checks or Forged Checks),Crimes against property,DECEPTIVE PRACTICE,BOGUS CHECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,DECEPTIVE PRACTICE,POSS. KEYS OR DEV.TO COIN MACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,280,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property,DECEPTIVE PRACTICE,STOLEN PROPERTY BUY / RECEIVE / POSSESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23U,23U Other Theft,Larceny/Theft Offenses,Crimes against property,DECEPTIVE PRACTICE,"THEFT BY LESSEE, NON-MOTOR VEHICLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23U,23U Other Theft,Larceny/Theft Offenses,Crimes against property,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23U,23U Other Theft,Larceny/Theft Offenses,Crimes against property,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,BOLITA OR BOLI PUL/OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,BOLITA OR BOLI PUL/RUNNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,BOLITA OR BOLI PUL/WRITER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,BOOKMAKING/HORSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,BOOKMAKING/SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,GAME/AMUSEMENT DEVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,GAME/CARDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,GAME/DICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,ILLEGAL ILL LOTTERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,LOTTERY/OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,LOTTERY/PARI-MUTUEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,LOTTERY/PARLAY CARDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,NATIONAL LOTTERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,POLICY/OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,REGISTER FED GAMBLING STAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,VIOL CHARITABLE GAME ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,WIREROOM/HORSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,GAMBLING,WIREROOM/SPORTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39D,39D Sports Tampering,Gambling Offenses,Crimes against society,GAMBLING,SPORTS TAMPERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39C,39C Gambling Equipment Violations,Gambling Offenses,Crimes against society,GAMBLING,GAME / AMUSEMENT DEVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09A,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person,HOMICIDE,FIRST DEGREE MURDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09A,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person,HOMICIDE,RECKLESS HOMICIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09B,09B Negligent Manslaughter,Homicide Offenses,Crimes against person,HOMICIDE,INVOLUNTARY MANSLAUGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64A,"64A Human Trafficking, Commercial Sex Acts",Human Trafficking,Crimes against person,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64B,"64B Human Trafficking, Involuntary Servitude",Human Trafficking,Crimes against person,HUMAN TRAFFICKING,INVOLUNTARY SERVITUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,510,510 Bribery,Bribery,Crimes against property,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,AIDING ARRESTEE ESCAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,CONCEALING/AIDING A FUGITIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,CONTRABAND IN PRISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,OFFICIAL MISCONDUCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,REFUSING TO AID AN OFFICER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property,INTIMIDATION,EXTORTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,INTIMIDATION,COMPELLING CONFESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,INTIMIDATION,COMPELLING ORG MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,INTIMIDATION,EDUCATIONAL INTIMIDAITON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,INTIMIDATION,INTIMIDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,INTIMIDATION,INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,KIDNAPPING,AGGRAVATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,KIDNAPPING,CHILD ABDUCTION/STRANGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,KIDNAPPING,FORCIBLE DETENTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,KIDNAPPING,KIDNAPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,KIDNAPPING,UNLAWFUL RESTRAINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,KIDNAPPING,CHILD ABDUCTION / STRANGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,KIDNAPPING,UNLAWFUL VISITATION INTERFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,LIQUOR LAW VIOLATION,EMPLOY MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,LIQUOR LAW VIOLATION,ILLEGAL CONSUMPTION BY MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,LIQUOR LAW VIOLATION,MINOR MISREPRESENT AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,LIQUOR LAW VIOLATION,SELL / GIVE / DELIVER LIQUOR TO MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"ATT: TRUCK, BUS, MOTOR HOME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,AUTOMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE NO VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: CYCLE, SCOOTER, BIKE W-VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"ATTEMPT - CYCLE, SCOOTER, BIKE WITH VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"ATTEMPT - TRUCK, BUS, MOTOR HOME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"THEFT / RECOVERY - CYCLE, SCOOTER, BIKE WITH VIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,MOTOR VEHICLE THEFT,"THEFT / RECOVERY - TRUCK, BUS, MOBILE HOME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,ALTER/FORGE PRESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,ATTEMPT POSSESSION CANNABIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,CALCULATED CANNABIS CONSPIRACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,CANNABIS PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,CONT SUBS:FAIL TO MAINT RECORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,CRIMINAL DRUG CONSPIRACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,DEL CONT SUBS TO PERSON <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,DELIVER CANNABIS TO PERSON <18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,FAIL REGISTER LIC:CONT SUBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,FAILURE TO KEEP HYPO RECORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,FORFEIT PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,FOUND SUSPECT NARCOTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,MANU/DELIVER: METHAMPHETAMINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,MANU/DELIVER:AMPHETAMINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,NARCOTICS,MANU/DELIVER:BARBITUATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
